"var","category_en","category_short_en","question_short_en","question_en","category_es","category_short_es","question_short_es","question_es","aut_idx","ca_idx","crit_idx","fear_idx","transp_idx","trust_idx","weahlt_idx","common","label.lapop.2004.GTM","levels.lapop.2004.GTM","label.lapop.2004.HND","levels.lapop.2004.HND","label.lapop.2004.SLV","levels.lapop.2004.SLV","label.lapop.2006.GTM","levels.lapop.2006.GTM","label.lapop.2006.HND","levels.lapop.2006.HND","label.lapop.2006.SLV","levels.lapop.2006.SLV","label.lapop.2008.GTM","levels.lapop.2008.GTM","label.lapop.2008.HND","levels.lapop.2008.HND","label.lapop.2008.SLV","levels.lapop.2008.SLV","label.lapop.2010.GTM","levels.lapop.2010.GTM","label.lapop.2010.HND","levels.lapop.2010.HND","label.lapop.2010.SLV","levels.lapop.2010.SLV","label.lapop.2012.GTM","levels.lapop.2012.GTM","label.lapop.2012.HND","levels.lapop.2012.HND","label.lapop.2012.SLV","levels.lapop.2012.SLV","label.lapop.2014.GTM","levels.lapop.2014.GTM","label.lapop.2014.HND","levels.lapop.2014.HND","label.lapop.2014.SLV","levels.lapop.2014.SLV","label.lapop.2016.GTM","levels.lapop.2016.GTM","label.lapop.2016.HND","levels.lapop.2016.HND","label.lapop.2016.SLV","levels.lapop.2016.SLV","label.lapop.2018.HND","levels.lapop.2018.HND","label.lapop.2018.SLV","levels.lapop.2018.SLV","label.lapop.2019.GTM","levels.lapop.2019.GTM"
"d2","Political Tolerance","Tolerance","Approval of Government Critics' Right to Protest","How strongly do you approve or disapprove that such people be allowed to conduct peaceful demonstrations in order to express their views? Please read me the number.","Tolerancia política","Tolerancia","Aprueba el derecho a protestar","Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a cabo manifestaciones pacíficas con el propósito de expresar sus puntos de vista? Por favor léame el número.",NA,NA,"yes",NA,NA,NA,NA,"¿Con qué firmeza aprueba o desaprueba el que estas personas puedan llevar a cabo","¿Con qué firmeza aprueba o desaprueba el que estas personas puedan llevar a cabo",10,"¿Con qué firmeza aprueba o desaprueba el que personas que hablan mal de la forma",10,"¿Con qué firmeza aprueba o desaprueba el que personas que hablan mal de la forma",10,"¿Con qué firmeza aprueba que estas personas puedan llevar a cabo manifestaciones",10,"¿Con qué firmeza aprueba o desaprueba usted el que estas personas puedan llevar ",10,"¿Con qué firmeza aprueba o desaprueba usted el que estas personas puedan llevar ",10,"¿Con qué firmeza aprueba que estas personas puedan llevar a cabo manifestaciones",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a c",10,"Con qué firmeza aprueba o desaprueba usted que estas personas puedan llevar a ca",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10,"Approval of Government Critics' Right to Peaceful Demonstrations",10,"Approval of Government Critics' Right to Peaceful Demonstrations",10,"Approval of Government Critics' Right to Peaceful Demonstrations",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10,"Aprueba el derecho a protestar de los critican la forma de gobierno",10
"d3","Political Tolerance","Tolerance","Approval of Government Critics' Right to Run for Office","Still thinking of those who only say bad things about the (country) form of government, how strongly do you approve or disapprove of such people being permitted to run for public office?","Tolerancia política","Tolerancia","Aprueba el derecho a postularse","Siempre pensando en los que hablan mal de la forma de gobierno de [país]. ¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan postularse para cargos públicos?",NA,NA,"yes",NA,NA,NA,NA,"¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para ","¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para ",10,"¿Con qué firmeza aprueba o desaprueba que personas que hablan mal de la forma de",10,"¿Con qué firmeza aprueba o desaprueba que personas que hablan mal de la forma de",10,"¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para ",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan POSTULARSE",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan POSTULARSE",10,"¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para ",10,"Siempre pensando en los que hablan mal de la forma de gobierno de Honduras ¿Con ",10,"Siempre pensando en los que hablan mal de la forma de gobierno de El Salvador ¿C",10,"Siempre pensando en los que hablan mal de la forma de gobierno de Guatemala ¿Con",10,"Siempre pensando en los que hablan mal de la forma de gobierno de Honduras ¿Con ",10,"Siempre pensando en los que hablan mal de la forma de gobierno de El Salvador ¿C",10,"Siempre pensando en los que hablan mal de la forma de gobierno de Guatemala ¿Con",10,"Siempre pensando en los que hablan mal de la forma de gobierno de Honduras ¿Con",10,"Siempre pensando en los que hablan mal de la forma de gobierno de El Salvador. ¿",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10,"Approval of Government Critics' Right to Run for Office",10,"Approval of Government Critics' Right to Run for Office",10,"Approval of Government Critics' Right to Run for Office",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10,"Aprueba el derecho a candidatizarse de los que critican la forma de gobierno",10
"d4","Political Tolerance","Tolerance","Approval of Government Critics' Right to Make Speeches","How strongly do you approve or disapprove of such people appearing on television to make speeches?","Tolerancia política","Tolerancia","Aprueba el derecho a hacer un discurso","¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la televisión para dar un discurso?",NA,NA,"yes",NA,NA,NA,NA,"¿Con qué firmeza aprueba o desaprueba que estas personas salgan en la televisión","¿Con qué firmeza aprueba o desaprueba que estas personas salgan en la televisión",10,"¿Con qué firmeza aprueba o desaprueba que personas que hablan mal de la forma de",10,"¿Con qué firmeza aprueba o desaprueba que personas que hablan mal de la forma de",10,"¿Con qué firmeza aprueba o desaprueba que estas personas salgan en la televisión",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba que estas personas salgan en la televisión",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la tele",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10,"Approval of Government Critics' Right to Make Speeches",10,"Approval of Government Critics' Right to Make Speeches",10,"Approval of Government Critics' Right to Make Speeches",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10,"Aprueba el derecho a hacer un discurso de los que critican la forma de gobierno",10
"d5","Political Tolerance","Tolerance","Approval of Homosexuals' Right to Run for Office","And now, changing the topic and thinking of homosexuals, how strongly do you approve or disapprove of such people being permitted to run for public office?","Tolerancia política","Tolerancia","Aprueba el derecho de homosexuales a postularse","Y ahora, cambiando el tema, y pensando en los homosexuales. ¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para cargos públicos?",NA,NA,NA,NA,NA,NA,NA,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr","Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"¿Con qué firmeza aprueba o desaprueba que los homosexuales se puedan postularse ",10,"¿Con qué firmeza aprueba o desaprueba que los homosexuales se puedan postularse ",10,"Pensando en los homosexuales, ¿Con qué firmeza aprueba que estas personas salgan",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Pensando en los homosexuales, ¿Con qué firmeza aprueba que estas personas puedan",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales, ¿Con qué firmeza apr",10,"Y ahora, cambiando el tema, y pensando en los homosexuales. ¿Con qué firmeza apr",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10,"Approval of Homosexuals' Right to Run for Office",10,"Approval of Homosexuals' Right to Run for Office",10,"Approval of Homosexuals' Right to Run for Office",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10,"Aprueba el derecho a los homosexuales de postularse a cargos públicos",10
"d6","Political Tolerance","Tolerance","Approval of Same-Sex Couples' Right to Marry","How strongly do you approve or disapprove of same-sex couples having the right to marry?","Tolerancia política","Tolerancia","Aprueba el derecho a casarse de parejas del mismo sexo","¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tener el derecho a casarse?",NA,NA,NA,NA,NA,NA,NA,NA,"Y siempre pensando en los homosexuales, ¿Con qué firmeza aprueba o desaprueba qu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tene",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10,"Approval of Same-Sex Couples' Right to Marry",10,"Approval of Same-Sex Couples' Right to Marry",10,"Approval of Same-Sex Couples' Right to Marry",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10,"Aprueba el derecho a contraer matrimonio de parejas del mismo sexo",10
"drk1","Climate Change/Disaster Risk Reduction","Environment","Likelihood of Death or Harm from Natural Disaster","How likely do you think it is that you or someone in your immediate family here in [country] could be killed or seriously injured in a natural disaster, such as floods, earthquakes, or hurricanes, in the next 25 years?","Cambio climático/Reducción de riesgos por desastres","Ambiente","Probabilidad de muerte o daño en desastres naturales","¿Qué tan probable sería que usted o alguien en su familia inmediata aquí en [país] pueda morir o salir seriamente lastimado en un desastre natural como inundaciones, terremotos o huracanes/huaycos/deslaves/tornados en los próximos 25 años? ¿Cree usted que es...?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Likelihood of Death or Harm from Natural Disaster",4,"Likelihood of Death or Harm from Natural Disaster",4,"Likelihood of Death or Harm from Natural Disaster",4,"Probabilidad de muerte o daño en desastres naturales",4,"Probabilidad de muerte o daño en desastres naturales",4,"Probabilidad de muerte o daño en desastres naturales",4
"dst1b","Climate Change/Disaster Risk Reduction","Environment","Spend More to Enforce Building Codes","The government should spend more money to enforce building codes to make homes safer from natural disasters, even if it means spending less on other programs... How much do you agree or disagree?","Cambio climático/Reducción de riesgos por desastres","Ambiente","Gastar más para hacer cumplir los códigos de construcción","El gobierno debe gastar más dinero para hacer cumplir los reglamentos de construcción para hacer las viviendas más seguras ante desastres naturales, incluso si esto significa gastar menos en otros programas. ¿Qué tan de acuerdo o en desacuerdo está usted con esta frase?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Government Should Spend More to Enforce Building Codes to Make Homes Safe",7,"Government Should Spend More to Enforce Building Codes to Make Homes Safe",7,"Government Should Spend More to Enforce Building Codes to Make Homes Safe",7,"Debe gastar más para hacer cumplir los códigos de construcción para la seguridad",7,"Debe gastar más para hacer cumplir los códigos de construcción para la seguridad",7,"Debe gastar más para hacer cumplir los códigos de construcción para la seguridad",7
"e5","Political Tolerance","Tolerance","Approval of Those Participating in Legal Demonstration","Of people participating in legal demonstrations. How much do you approve or disapprove?","Tolerancia política","Tolerancia","Aprueba la participación en protestas permitidas por ley","Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué punto aprueba o desaprueba?",NA,NA,NA,NA,NA,NA,NA,"Que las personas participen en manifestaciones permitidas por la ley.","Que las personas participen en manifestaciones permitidas por la ley.",10,"¿Con qué firmeza aprobaría o desaprobaría que las personas participen en manifes",10,"¿Con qué firmeza aprobaría o desaprobaría que las personas participen en manifes",10,"Firmeza con que aprueba que las personas participen en manifestaciones permitida",10,"Voy a leer una serie de acciones o cosas que las personas pueden hacer para llev",10,"Que las personas participen en manifestaciones permitidas por la ley",10,"Firmeza con que aprueba que las personas participen en manifestaciones permitida",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué",10,"Aprueba la participación en protestas permitidas por ley",10,"Aprueba la participación en protestas permitidas por ley",10,"Aprueba la participación en protestas permitidas por ley",10,"Approval of Those Participating in Legal Demonstration",10,"Approval of Those Participating in Legal Demonstration",10,"Approval of Those Participating in Legal Demonstration",10,"Aprueba la participación en protestas permitidas por ley",10,"Aprueba la participación en protestas permitidas por ley",10,"Aprueba la participación en protestas permitidas por ley",10
"ed","Socio-Demographic Characteristics","Socio-Dem.","Years of Schooling","Years of Schooling","Características sociodemográficas","Sociodem.","Años de educación","Años de educación",NA,NA,NA,NA,NA,NA,NA,"Cuál fue el último año de enseñanza que  aprobó?","Cuál fue el último año de enseñanza que  aprobó?",19,"¿Cuál fue el último año de enseñanza que aprobó?",19,"¿Cuál fue el último año de enseñanza que aprobó?",19,"¿Cuál fue el último años de enseñanza que usted aprobó?",19," ED ",19," ED ",20,"¿Cuál fue el último años de enseñanza que usted aprobó?",19," ED ",19," ED ",19,"¿Cuál fue el último año de educación que usted completó o aprobó?",23,"¿Cuál fue el último año de educación que usted completó o aprobó?",19,"¿Cuál fue el último año de educación que usted completó o aprobó?",19,"¿Cuál fue el último año de educación que usted completó o aprobó?",19,"¿Cuál fue el último año de educación que usted completó o aprobó?",19,"¿Cuál fue el último año de educación que usted completó o aprobó?",19,"Años de educación",19,"Años de educación",19,"Años de educación",19,"Years of Schooling",19,"Years of Schooling",19,"Years of Schooling",19,"Años de educación",19,"Años de educación",19,"Años de educación",19
"eff1","Evaluation of Institutions, Political System and Other Persons","Evaluations","Leaders Are Interested in What People Think","Those who govern this country are interested in what people like you think. How much do you agree or disagree with this statement?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Gobernantes están interesados en lo que piensa la gente","A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," A los que gobiernan el país les interesa lo que piensa la gente como uno",7,"A los que gobiernan el país les interesa lo que piensa la gente como uno. ¿Hasta",7,"A los que gobiernan el país les interesa lo que piensa la gente como uno. ¿Hasta",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Has",7,"Los gobernantes están interesados en lo que piensa la gente",7,"Los gobernantes están interesados en lo que piensa la gente",7,"Los gobernantes están interesados en lo que piensa la gente",7,"Leaders Are Interested in What People Think",7,"Leaders Are Interested in What People Think",7,"Leaders Are Interested in What People Think",7,"Los gobernantes están interesados en lo que piensa la gente",7,"Los gobernantes están interesados en lo que piensa la gente",7,"Los gobernantes están interesados en lo que piensa la gente",7
"eff2","Evaluation of Institutions, Political System and Other Persons","Evaluations","Understands Important Political Issues","You feel that you understand the most important political issues of this country. How much do you agree or disagree with this statement?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Entiende los asuntos más importantes del país","Usted siente que entiende bien los asuntos políticos más importantes del país. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Siento que entiendo bien los asuntos políticos más importantes del país",7,"Siento que entiendo bien los asuntos políticos más importantes del país. ¿Hasta ",7,"Siento que entiendo bien los asuntos políticos más importantes del país. ¿Hasta ",7,"USTED siente que entiende bien los asuntos políticos más importantes del país. ¿",7,"Usted siente que entiende bien los asuntos políticos más importantes del país. ¿",7,"USTED siente que entiende bien los asuntos políticos más importantes del país. ¿",7,"USTED siente que entiende bien los asuntos políticos más importantes del país. ¿",7,"USTED siente que entiende bien los asuntos políticos más importantes del país. ¿",7," Usted siente que entiende bien los asuntos políticos más importantes del país.",7,"Siente que entiende los asuntos más importantes del país",7,"Siente que entiende los asuntos más importantes del país",7,"Siente que entiende los asuntos más importantes del país",7,"Understands Important Political Issues",7,"Understands Important Political Issues",7,"Understands Important Political Issues",7,"Siente que entiende los asuntos más importantes del país",7,"Siente que entiende los asuntos más importantes del país",7,"Siente que entiende los asuntos más importantes del país",7
"env1c","Climate Change/Disaster Risk Reduction","Environment","Higher Priority for Protecting Environment or Promoting Economic Growth","Some people believe that we must prioritize the protection of the environment over economic growth, while other believe that economic growth must be the prioritized over the protection of the environment. On a scale from 1 to 7 where 1 means that the environment should be the top priority, and 7 means that economic growth should be the top priority, where would you be?","Cambio climático/Reducción de riesgos por desastres","Ambiente","Priorizar la protección del medio ambiente o promover el crecimiento económico","Alguna gente cree que hay que priorizar la protección del medio ambiente sobre el crecimiento económico, mientras otros creen que el crecimiento económico debería priorizarse sobre la protección ambiental. En una escala de 1 a 7 en la que 1 significa que el medio ambiente debe ser la principal prioridad, y 7 significa que el crecimiento económico debe ser la principal prioridad, ¿dónde se ubicaría usted?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Higher Priority for Protecting Environment or Promoting Economic Growth",7,"Higher Priority for Protecting Environment or Promoting Economic Growth",7,"Higher Priority for Protecting Environment or Promoting Economic Growth",7,NA,NA,NA,NA,NA,NA
"env2b","Climate Change/Disaster Risk Reduction","Environment","Seriousness of Climate Change","If nothing is done to reduce climate change in the future, how serious of a problem do you think it will be for [country]?","Cambio climático/Reducción de riesgos por desastres","Ambiente","Seriedad del cambio climático","Si no se hace nada para reducir el cambio climático en el futuro, ¿qué tan serio piensa usted que sería el problema para [país]?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seriousness of Climate Change",4,"Seriousness of Climate Change",4,"Seriousness of Climate Change",4,"Seriedad del cambio climático",4,"Seriedad del cambio climático",4,"Seriedad del cambio climático",4
"etid","Socio-Demographic Characteristics","Socio-Dem.","Ethnicity","Do you consider yourself white, mestizo, indigenous, black, mulatto, or of another race?","Características sociodemográficas","Sociodem.","Etnicidad","¿Usted se considera una persona blanca, mestiza, indígena, negra, mulata, u otra?",NA,NA,NA,NA,NA,NA,NA,NA,"¿Usted se considera ...?",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Usted se considera",4,"¿Usted se considera una persona blanca, mestiza, indígena, negra o Afro-hondureñ",6,"¿Usted se considera una persona blanca, mestiza, indígena, negra o Afro-salvador",6,"¿Usted se considera una persona ladina, indígena, u otra?",3,"¿Usted se considera una persona blanca, mestiza, indígena, negra, mulata, u otra",5,"¿Usted se considera una persona blanca, mestiza, indígena, negra, mulata, u otra",6,"¿Usted se considera una persona ladina, indígena, u otra?",3,"¿Usted se considera una persona blanca, mestiza, indígena, negra, mulata, u otra",6,"¿Usted se considera una persona blanca, mestiza, indígena, negra, mulata, u otra",6,"Etnicidad",3,"Etnicidad",6,"Etnicidad",6,"Ethnicity",3,"Ethnicity",6,"Ethnicity",6,"Etnicidad",6,"Etnicidad",6,"Etnicidad",3
"exc11","Corruption","Corruption","Asked to Pay Bribe to Process Document in Municipality","In the last twelve months, to process any kind of document in your municipal government, like a permit for example, did you have to pay any money above that required by law?","Corrupción","Corrupción","Le solicitaron soborno para trámite en municipalidad","Para tramitar algo en el municipio, como un permiso, por ejemplo, durante el último año, ¿ha tenido que pagar alguna suma además de lo exigido por la ley?",NA,NA,NA,NA,NA,NA,NA,"¿Ha tramitado algo en la municipalidad en el último año? Para tramitar algo en l","¿Ha tramitado algo en la municipalidad en el último año? Para tramitar algo en l",2,"¿Ha pagado suma además de la exigida por la ley por tramitar algo en municipalid",2,"¿Ha pagado suma además de la exigida por la ley por tramitar algo en municipalid",2,"Para tramitar algo en la municipalidad durante el último año?",2,"Para tramitar algo en la municipalidad (como un permiso, por ejemplo) durante el",2,"Para tramitar algo en el municipio (como un permiso, por ejemplo) durante el últ",2,"Para tramitar algo en la municipalidad durante el último año, ¿ha tenido que pag",2,"Para tramitar algo en el municipio (como un permiso, por ejemplo) durante el últ",2,"Para tramitar algo en el municipio / delegación (como un permiso, por ejemplo) d",2,"Para tramitar algo en el municipio/delegación, como un permiso, por ejemplo, dur",2,"Para tramitar algo en el municipio/delegación, como un permiso, por ejemplo, dur",2,"Para tramitar algo en la alcaldía, como un permiso, por ejemplo, durante el últi",2,"Para tramitar algo en el municipio/delegación, como un permiso, por ejemplo, dur",2,"Para tramitar algo en el municipio, como un permiso, por ejemplo, durante el últ",2,"¿Ha tramitado algo en la alcaldía de la ciudad donde vive en los últimos 12 mese",2,"Le solicitaron soborno para tramitar algo en el municipio",2,"Le solicitaron soborno para tramitar algo en el municipio",2,"Le solicitaron soborno para tramitar algo en el municipio",2,"Asked to Pay Bribe to Process Document in Municipal Government",2,"Asked to Pay Bribe to Process Document in Municipal Government",2,"Asked to Pay Bribe to Process Document in Municipal Government",2,"Le solicitaron soborno para tramitar algo en el municipio",2,"Le solicitaron soborno para tramitar algo en el municipio",2,"Le solicitaron soborno para tramitar algo en el municipio",2
"exc13","Corruption","Corruption","Asked to Pay a Bribe at Work","In your work, have you been asked to pay a bribe in the last twelve months?","Corrupción","Corrupción","Le solicitaron soborno en el trabajo","En su trabajo, ¿le han solicitado alguna coima/soborno en los últimos 12 meses?",NA,NA,NA,NA,NA,NA,NA,"¿UD. trabaja? En su trabajo, le han solicitado algún pago no correcto en el últi","¿UD. trabaja? En su trabajo, le han solicitado algún pago no correcto en el últi",2,"¿Le han solicitado pago no correcto en último año en su trabajo?",2,"¿Le han solicitado pago no correcto en último año en su trabajo?",2,"En su trabajo le han solicitado alguna mordida en el último año?",2,"En su trabajo, ¿le han solicitado alguna mordida (soborno) en el último año?",2,"En su trabajo, ¿le han solicitado alguna mordida en el último año?",2,"En su trabajo le han solicitado alguna mordida en el último año?",2,"En su trabajo, ¿le han solicitado alguna mordida en el último año?",2,"En su trabajo, ¿le han solicitado alguna mordida (o soborno) en el último año?",2,"En su trabajo, ¿le han solicitado alguna mordida en los últimos 12 meses?",2,"En su trabajo, ¿le han solicitado alguna mordida en los últimos 12 meses?",2,"En su trabajo, ¿le han solicitado alguna mordida (o soborno) en los últimos 12 m",2,"En su trabajo, ¿le han solicitado alguna mordida en los últimos 12 meses?",2,"En su trabajo, ¿le han solicitado alguna mordida en los últimos 12 meses?",2,"En su trabajo, ¿le han solicitado alguna mordida (o soborno) en los últimos 12 m",2,"Le solicitaron soborno en el trabajo",2,"Le solicitaron soborno en el trabajo",2,"Le solicitaron soborno en el trabajo",2,"Asked to Pay a Bribe at Work",2,"Asked to Pay a Bribe at Work",2,"Asked to Pay a Bribe at Work",2,"Le solicitaron soborno en el trabajo",2,"Le solicitaron soborno en el trabajo",2,"Le solicitaron soborno en el trabajo",2
